"inari_urls_link","inari_urls_date_date","inari_urls_date_user","inari_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 12:20 PM","USApg","http://www.chinapress.com.my/20190103/iphone大中华区销售欠佳-苹果业绩差-股价急挫/"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 12:22 PM","Jona0724","很大机会成仙"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 12:23 PM","newbie4444","Why no1 in Insas talk today? Insas no more Inari true?"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 12:38 PM","Davidyeap","Today 1.24-1.26"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 12:38 PM","Davidyeap","我说过一月成仙"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 12:40 PM","Davidyeap","1.8 我说可以放了，但是没人相信"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 12:50 PM","SpicyMcDeluxe","Bankers out from this stock long time ago, pity retailers who r stuck here now"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 12:50 PM","angel123",""
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 12:53 PM","TYS_Capital","around 1 I think"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 12:53 PM","TYS_Capital","now still expensive"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 12:55 PM","VenFx","Can speculate ?
If, 1.20 kiss ?"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 1:45 PM","apple168","As we mentioned earlier, tech bubbles! It comes finally!"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 2:10 PM","Nathani Lim","1.27 cannot support longer, afternoon sure will break"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 2:33 PM","Nathani Lim","if 1.27 break, will drop deeply"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 2:40 PM","chickenputih","sure break later .. remember to run ya ."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 2:40 PM","BULL1000BEAR1000","Run away"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 2:54 PM","jonathanlum","broken 1.27"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 2:55 PM","firehawk","cheaper and cheaper ... want to compete with VS ....."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:03 PM","paktua73","thanks to who sell at 1.27
paktua manage win bet for last time today at 1.27
now hold 700k avrrge per share now at 1.2927
tut tut
always follow the wave closely
dare to buy or die try"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:04 PM","Yu_and_Mee","apple revenue cut, definitely no no good for inari. may drop below 1.00 in 1-2 months"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:04 PM","lansi_trader","Somebody some funds have bigger appetite than the others hmmmmmmm"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:05 PM","lansi_trader","That is when shortselling switched to buying up. Smell that?!"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:05 PM","Yu_and_Mee","if say no impact or less impact, just cheat yourself because foxconn already reduce 25% of production line. better cut or take profit first"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:05 PM","Yu_and_Mee","cheap can be cheaper. 1.00 only buy in still not too late."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:06 PM","Yu_and_Mee","today may close slightly below 1.20"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:09 PM","Hush77","ppl read too much in the news..
the key issue is trump and Xi...
once the have a truce hopefully before Feb 2019....
the mkt ""may"" go up regardless of how apple or oranges does..."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:10 PM","Yu_and_Mee","seller slowly distribute, not queue at huge qty to scare off buyers.
once buyers take up, sellers again distribute. beware"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:11 PM","Yu_and_Mee","cash rich people will be richer next few years."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:11 PM","kiasukiasi1980","Superb i follow paktua lo always win 1"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:13 PM","Yu_and_Mee","1.00 is worth to take up, now market not good, apple sales and revenue drop, trade war not end so simple because US wants to take control stake in China tech, and etc.
no one know what is lowest price. if you think price now worth for you, then just take up. For me, still very expensive"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:15 PM","Yu_and_Mee","And USD drops against MYR now"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:17 PM","Hush77","ppl shit their pants when the big boys dumped their shit on them....
but do u know , maybe the big boys wants to buy cheap and later push it back up to sell.."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 3:24 PM","mastermarcus","I think possible.....sharks manipulate now.
VenFx Can speculate ?
If, 1.20 kiss ?
03/01/2019 12:55"
